EXT_t1,EXT_t2,EXT_t3,ATT_t1,ATT_t2,ATT_t3,INT_t1,INT_t2,INT_t3,SOC_t1,SOC_t2,SOC_t3
EXT_t1,1.00385551056733,0,0,0,0,0,0,0,0,0,0,0
EXT_t2,0.713638217899987,1.00600127948942,0,0,0,0,0,0,0,0,0,0
EXT_t3,0.633235634174296,0.741168870800166,1.02428377737276,0,0,0,0,0,0,0,0,0
ATT_t1,0.577280277992068,0.447683375575341,0.409321249462957,1.01145000113402,0,0,0,0,0,0,0,0
ATT_t2,0.486714711304712,0.595162991857808,0.475821961991891,0.705048323933376,1.03374053873855,0,0,0,0,0,0,0
ATT_t3,0.430292565530635,0.495496672456547,0.604911515421384,0.615756549520879,0.751215148958466,1.02623205980095,0,0,0,0,0,0
INT_t1,0.520838848256513,0.376493471670752,0.34349551869904,0.434552884990573,0.354564384756474,0.303541617075549,1.01947438476988,0,0,0,0,0
INT_t2,0.422119858290246,0.554091251610178,0.428573783635541,0.330328771020032,0.466276934856388,0.368835686717948,0.631127143810353,1.02909536323992,0,0,0,0
INT_t3,0.363043833326941,0.437769177019125,0.567129183100188,0.298276620692575,0.376636155722427,0.473032377873574,0.522611864381415,0.667536037956111,1.02235504418248,0,0,0
SOC_t1,0.657516229622426,0.486933561566529,0.434322189094654,0.612607878087291,0.501412433556581,0.438725347110038,0.629351232085838,0.46972833514461,0.396196141663827,1.00362194468193,0,0
SOC_t2,0.515806276285378,0.669356377146999,0.530463120008375,0.475277604745807,0.627353992479,0.510013945470518,0.471350476240709,0.689435102840407,0.518190160283921,0.622029559246107,1.02631739134741,0
SOC_t3,0.444365620674919,0.51831971807319,0.659417732827012,0.427114688515307,0.507680996355047,0.627959261218934,0.395486749665781,0.513606320485639,0.693762204932051,0.517903165072346,0.679388113887731,1.01845093239528
