EXT_t1,EXT_t2,EXT_t3,ATT_t1,ATT_t2,ATT_t3,INT_t1,INT_t2,INT_t3,SOC_t1,SOC_t2,SOC_t3
EXT_t1,1.00019605677629,0,0,0,0,0,0,0,0,0,0,0
EXT_t2,0.587887546358291,1.04667189123625,0,0,0,0,0,0,0,0,0,0
EXT_t3,0.523022345247585,0.611621022606593,1.02438181179789,0,0,0,0,0,0,0,0,0
ATT_t1,0.420981900903426,0.379193457758321,0.339868178161588,1.0047968886042,0,0,0,0,0,0,0,0
ATT_t2,0.386286119959563,0.506021621485128,0.410974986262525,0.680523345144931,1.04201833028884,0,0,0,0,0,0,0
ATT_t3,0.348031031670402,0.434168899119763,0.497166586395962,0.599274458330688,0.701724668645267,1.02247045880481,0,0,0,0,0,0
INT_t1,0.2530417683684,0.206414966111488,0.192527140224909,0.20016910336812,0.190670403724065,0.196612555464921,1.00545336159265,0,0,0,0,0
INT_t2,0.275823573557047,0.350177668064394,0.280964904089341,0.218258357488273,0.310637440478894,0.276013685087949,0.554959554184241,1.03824277695662,0,0,0,0
INT_t3,0.199946309634564,0.233677114224967,0.32750795600106,0.196460615828658,0.231793525255511,0.312478389465302,0.469471927115931,0.566182738290948,1.01444853583752,0,0,0
SOC_t1,0.280872849804017,0.223861855189464,0.220134057441508,0.218012748045195,0.211012989398792,0.223945371796946,0.321859474271153,0.303693504364152,0.226809044186428,1.00269593157519,0,0
SOC_t2,0.263134879120005,0.345238119147136,0.267382073107748,0.232279079196815,0.308848042875047,0.26761152688491,0.240457178780778,0.451991282213218,0.269656270943316,0.523881868218888,1.04474674180146,0
SOC_t3,0.2324608569151,0.259110853185177,0.337285862716791,0.231387182950882,0.279705508162142,0.321561027185091,0.225535417163591,0.321724774987814,0.406363813415008,0.447258390663119,0.551771796620387,1.01157817831233
